id,name,type_tax_use,amount_type,amount,l10n_pe_tax_type_id:id,l10n_pe_type_sale_id:id,price_include,l10n_pe_code_affectation_id:id
account_tax_01,IVAP,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_2,l10n_pe_sunat_data.pe_cpe_catalog11_1,1,l10n_pe_sunat_data.pe_cpe_catalog7_8
account_tax_02,ISC,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_3,l10n_pe_sunat_data.pe_cpe_catalog11_1,1,
account_tax_03,Exportación,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_4,l10n_pe_sunat_data.pe_cpe_catalog11_4,1,l10n_pe_sunat_data.pe_cpe_catalog7_19
account_tax_04,Gratuito,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_5,l10n_pe_sunat_data.pe_cpe_catalog11_5,1,l10n_pe_sunat_data.pe_cpe_catalog7_7
account_tax_05,Exonerado,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_6,l10n_pe_sunat_data.pe_cpe_catalog11_2,1,l10n_pe_sunat_data.pe_cpe_catalog7_9
account_tax_06,Inafecto,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_7,l10n_pe_sunat_data.pe_cpe_catalog11_3,1,l10n_pe_sunat_data.pe_cpe_catalog7_11
account_tax_07,Otros tributos,sale,percent,0,l10n_pe_sunat_data.pe_cpe_catalog5_8,l10n_pe_sunat_data.pe_cpe_catalog11_1,1,
account_tax_08,Gratuito 18%,sale,percent,18,l10n_pe_sunat_data.pe_cpe_catalog5_5,l10n_pe_sunat_data.pe_cpe_catalog11_5,1,
account_tax_09,Impuesto a la bolsa plastica 0.4,sale,fixed,0.4,l10n_pe_sunat_data.pe_cpe_catalog5_9,l10n_pe_sunat_data.pe_cpe_catalog11_1,1,
