id,l10n_pe_sunat_code_id/id
uom.product_uom_day,
uom.product_uom_dozen,l10n_pe_sunat_data.pe_tabla06_14
uom.product_uom_hour,
uom.product_uom_litre,l10n_pe_sunat_data.pe_tabla06_38
uom.product_uom_unit,l10n_pe_sunat_data.pe_tabla06_58
uom.product_uom_cm,l10n_pe_sunat_data.pe_tabla06_10
uom.product_uom_floz,
uom.product_uom_foot,l10n_pe_sunat_data.pe_tabla06_45
uom.product_uom_gram,l10n_pe_sunat_data.pe_tabla06_18
uom.product_uom_gal,l10n_pe_sunat_data.pe_tabla06_17
uom.product_uom_inch,l10n_pe_sunat_data.pe_tabla06_10
uom.product_uom_kgm,l10n_pe_sunat_data.pe_tabla06_23
uom.product_uom_km,l10n_pe_sunat_data.pe_tabla06_24
uom.product_uom_lb,l10n_pe_sunat_data.pe_tabla06_28
uom.product_uom_meter,l10n_pe_sunat_data.pe_tabla06_31
uom.product_uom_mile,l10n_pe_sunat_data.pe_tabla06_39
uom.product_uom_oz,l10n_pe_sunat_data.pe_tabla06_41
uom.product_uom_qt,
uom.product_uom_ton,l10n_pe_sunat_data.pe_tabla06_56
